beta,alpha_mean,alpha_lo,alpha_hi,intercept_mean
0.4,1.2002462411284995,1.1853179633845268,1.2218101179873324,-2.632380882487296
0.405,1.1938320368852642,1.1864335565688418,1.2048432122975994,-2.68034020949191
0.41,1.207280740186477,1.1935559811986578,1.2241866962786456,-2.831354599884079
0.415,1.2587031610631685,1.239619780715151,1.2787086740953044,-3.171007723300395
0.42,1.2679492114319588,1.2316839679172527,1.3074339356592126,-3.31896794570959
0.425,1.2946657300252018,1.272953473427029,1.3187190204616328,-3.565558713325975
0.43,1.3329115207632567,1.302150907325514,1.3600113641342415,-3.8589758221376833
0.435,1.3479092462858226,1.3137705516162264,1.3770578757152947,-4.050196813415178
0.44,1.3856241023283764,1.3691197720209716,1.3969677726682175,-4.3376666956585685
0.445,1.4058476860689657,1.387446396074413,1.4241628581840087,-4.55491749662162
0.45,1.4039650730362494,1.3837895083645078,1.4227285212492,-4.649878771326346
0.455,1.4130171142921764,1.3982153755204865,1.4257259882729145,-4.794085454179407
0.46,1.4163383077948364,1.3943617421392713,1.4372402035526033,-4.90936150118085
0.465,1.4232099997325853,1.4083848782609087,1.4398763262779015,-5.0349044032183485
0.47,1.4237886976139371,1.4127381380341315,1.4350653166386296,-5.119577906916467
0.475,1.4191440268055724,1.4091503715224185,1.4296343015022284,-5.184963858962138
0.48,1.4129043566214692,1.4051354277800718,1.4214547163168687,-5.228727876506964
0.485,1.406651999218516,1.392737456636924,1.4233942612650803,-5.26228600137363
0.49,1.390263636247027,1.376571828801637,1.404111143934667,-5.24561811609384
0.495,1.3775816522125823,1.3589903941527153,1.4054551986930834,-5.232237853995675
0.5,1.373786417886309,1.3647814313679165,1.3813291664482432,-5.258627435708571
